Salesforce Account Name,Simplified Platform Tier,Account Type,Is Ela Subscription,Is Pbf,Account Connections Cost,Account DLW Cost,Account Annualized Cost,Annualized Revenue,Account Cost Margin,# of Syncing Connections,Total Donkey Runtime (hrs),Minimum ARR (70% Margin - Compute),Ideal ARR (95% Margin - Compute),Account Connections Cost (Grand Total),Account DLW Cost (Grand Total),Account Annualized Cost (Grand Total),Annualized Revenue (Grand Total),Account Cost Margin (Grand Total),# of Syncing Connections (Grand Total),Total Donkey Runtime (hrs) (Grand Total),Minimum ARR (70% Margin - Compute) (Grand Total),Ideal ARR (95% Margin - Compute) (Grand Total)
Shutterstock Inc.,,Customer,true,false,14096.711397585395,170949.24910806274,185045.96050564805,249880.3513844844,0.2594617404674502,401,13913.06182638888,616819.8683521602,3700919.210112961,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"U.S. Venture, Inc.",Enterprise,Customer,false,false,1077.8578939169379,151639.25772222853,152717.1156161455,96044.76,-0.5900619212973772,9,643.6256747222222,509057.0520538183,3054342.3123229095,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Power Digital Marketing (Sproutward),Standard,Customer,true,true,136737.57445119554,0.0,136737.57445119554,13235.066331995367,-9.331461212297565,2086,74706.3908700001,455791.9148373185,2734751.489023911,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
IRIS Capital Limited,Enterprise,Customer,false,true,128484.46091787507,0.0,128484.46091787507,142848.59999999995,0.10055498676308261,547,29327.0986263889,428281.5363929169,2569689.218357501,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Modern_AI_LLC,Standard,Customer,false,true,79.26634987884916,122464.7523428079,122544.01869268675,130867.20000000001,0.06360020927561116,227,58003.67157194439,408480.0623089558,2450880.3738537347,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
,,,false,false,115872.65792336597,3699.8209724400035,119572.47889580601,0.0,,3271,16954.99494222222,398574.9296526867,2391449.57791612,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
SupportLogic,Enterprise,Customer,false,false,118283.64045560172,0.0,118283.64045560172,276320.52,0.5719332011404665,251,26128.58276472223,394278.80151867244,2365672.8091120343,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"FloQast, Inc.",BCF,Customer,false,true,109655.62817866188,0.0,109655.62817866188,592068.9949151728,0.8147924834429601,970,61321.50686361111,365518.7605955396,2193112.5635732375,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Treez Inc.,Enterprise,Customer,false,false,2374.174359525918,105033.60946920942,107407.78382873534,223774.55999999988,0.5200178973484055,726,7883.572186666669,358025.9460957845,2148155.6765747066,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Trellix,BCF,HVR Only Customer,false,false,106686.09635197395,0.0,106686.09635197395,398417.04,0.7322250665986225,73,5190.097345833335,355620.3211732465,2133721.927039479,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Snowflake Inc (Customer),Enterprise,Customer,false,false,101711.70885318701,0.0,101711.70885318701,235181.5199999999,0.5675182775705037,1790,19245.459024722226,339039.02951062337,2034234.17706374,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Notion Labs, Inc.",,Customer,true,false,37804.01941279352,59583.0818785887,97387.1012913822,384562.4728141958,0.746758698063512,335,18802.34178694445,324623.670971274,1947742.025827644,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Mortenson,Enterprise,Customer,false,false,0.0,97379.36123188761,97379.36123188761,50697.240000000005,-0.9208020245655897,11,937.4502055555557,324597.87077295873,1947587.2246377522,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
